source,target,pre_n_docs,post_n_docs,pre_total_docs,post_total_docs,pre_share,post_share,absolute_gap,absolute_gap_abs,relative_ratio,log2_ratio_smoothed,is_new_after_covid,is_disappeared_after_covid,large_upward_shift,large_downward_shift,p_value_fisher,q_value,signal_label,weight,first_year,last_year,source_category,target_category
accountability,governance,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_reporting,adverse_event_underreporting,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_reporting,clinical_quality_assurance,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_reporting,clinical_study,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_reporting,corrective_preventive_action,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_reporting,data_quality,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_reporting,machine_learning,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_reporting,predictive_modeling,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_reporting,quality_assurance,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
adverse_event_reporting,regulatory_guideline,1.0,0.0,5,9,0.2,0.0,-0.2,0.2,0.004975124378109453,-7.651051691178929,False,True,False,True,0.35714285714285715,0.8531746031746033,pre_only_or_decreased_to_zero,,,,,
