source,target,pre_n_docs,post_n_docs,pre_total_docs,post_total_docs,pre_share,post_share,absolute_gap,absolute_gap_abs,relative_ratio,log2_ratio_smoothed,is_new_after_covid,is_disappeared_after_covid,large_upward_shift,large_downward_shift,p_value_fisher,q_value,signal_label,weight,first_year,last_year,source_category,target_category
computerized_system,data_quality,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
computerized_system,governance,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
computerized_system,risk_based_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
computerized_systems_validation,critical_to_quality,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
computerized_systems_validation,data_quality,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
computerized_systems_validation,governance,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
computerized_systems_validation,risk_based_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
critical_to_quality,data_quality,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
critical_to_quality,governance,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
critical_to_quality,risk_based_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
data_integrity,governance_traceability,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
data_integrity,outlier_detection,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
data_integrity,quality_by_design,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
data_integrity,quality_tolerance_limit,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
data_integrity,remote_auditing,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
data_integrity,source_data_verification,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
data_integrity,sponsor_oversight,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
data_quality,governance,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
data_quality,risk_based_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
governance,risk_based_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
governance_traceability,quality_by_design,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
interpretability,remote_auditing,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
interpretability,sponsor_oversight,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
machine_learning,quality_assurance,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
machine_learning,quality_tolerance_limit,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
machine_learning,risk_based_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
machine_learning,site_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
machine_learning,source_data_verification,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
outlier_detection,risk_based_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
oversight,site_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
oversight,technical_support,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
quality_assurance,quality_tolerance_limit,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
quality_assurance,remote_auditing,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
quality_assurance,risk_based_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
quality_assurance,site_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
quality_assurance,source_data_verification,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
quality_assurance,sponsor_oversight,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
quality_risk_assessment,remote_auditing,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
quality_risk_assessment,sponsor_oversight,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
quality_tolerance_limit,risk_based_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
quality_tolerance_limit,site_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
quality_tolerance_limit,source_data_verification,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
remote_auditing,statistical_modeling,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
risk_based_monitoring,site_monitoring,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
risk_based_monitoring,source_data_verification,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
site_monitoring,source_data_verification,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
sponsor_oversight,statistical_modeling,0.0,1.0,5,9,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,112.1111111111111,6.808785457664045,True,False,True,False,1.0,1.0,new_post_covid,,,,,
clinical_quality_assurance,clinical_trial,1.0,1.0,5,9,0.2,0.1111111111111111,-0.0888888888888889,0.0888888888888889,0.5577667219458263,-0.8422662335148839,False,False,False,False,1.0,1.0,stable_or_small_change,2.0,2019.0,2020.0,RBQM,Clinical_Operations
clinical_quality_assurance,data_integrity,1.0,1.0,5,9,0.2,0.1111111111111111,-0.0888888888888889,0.0888888888888889,0.5577667219458263,-0.8422662335148839,False,False,False,False,1.0,1.0,stable_or_small_change,2.0,2019.0,2020.0,RBQM,Data
clinical_research,clinical_trial,1.0,1.0,5,9,0.2,0.1111111111111111,-0.0888888888888889,0.0888888888888889,0.5577667219458263,-0.8422662335148839,False,False,False,False,1.0,1.0,stable_or_small_change,2.0,2017.0,2021.0,Clinical_Operations,Clinical_Operations
clinical_research,data_integrity,1.0,1.0,5,9,0.2,0.1111111111111111,-0.0888888888888889,0.0888888888888889,0.5577667219458263,-0.8422662335148839,False,False,False,False,1.0,1.0,stable_or_small_change,2.0,2017.0,2021.0,Clinical_Operations,Data
clinical_research,oversight,1.0,1.0,5,9,0.2,0.1111111111111111,-0.0888888888888889,0.0888888888888889,0.5577667219458263,-0.8422662335148839,False,False,False,False,1.0,1.0,stable_or_small_change,2.0,2017.0,2021.0,Clinical_Operations,Clinical_Operations
clinical_trial,data_quality,1.0,1.0,5,9,0.2,0.1111111111111111,-0.0888888888888889,0.0888888888888889,0.5577667219458263,-0.8422662335148839,False,False,False,False,1.0,1.0,stable_or_small_change,2.0,2011.0,2023.0,Clinical_Operations,Data
clinical_trial,governance,1.0,1.0,5,9,0.2,0.1111111111111111,-0.0888888888888889,0.0888888888888889,0.5577667219458263,-0.8422662335148839,False,False,False,False,1.0,1.0,stable_or_small_change,2.0,2016.0,2023.0,Clinical_Operations,Governance
clinical_trial,machine_learning,1.0,1.0,5,9,0.2,0.1111111111111111,-0.0888888888888889,0.0888888888888889,0.5577667219458263,-0.8422662335148839,False,False,False,False,1.0,1.0,stable_or_small_change,2.0,2019.0,2025.0,Clinical_Operations,AI
data_integrity,machine_learning,1.0,1.0,5,9,0.2,0.1111111111111111,-0.0888888888888889,0.0888888888888889,0.5577667219458263,-0.8422662335148839,False,False,False,False,1.0,1.0,stable_or_small_change,2.0,2019.0,2025.0,Data,AI
data_integrity,quality_assurance,2.0,3.0,5,9,0.4,0.3333333333333333,-0.06666666666666671,0.06666666666666671,0.8337489609310057,-0.26231503656389604,False,False,False,False,1.0,1.0,stable_or_small_change,5.0,2011.0,2025.0,Data,RBQM
