term,Pre-COVID_token_count,Pre-COVID_doc_count,Pre-COVID_doc_share,Post-COVID_token_count,Post-COVID_doc_count,Post-COVID_doc_share,doc_share_gap,log2_ratio_smoothed,p_value_fisher,q_value
three,1,1,0.2,5,2,0.2222222222222222,0.0222222222222222,0.15128515611205084,1.0,1.0
clinical_trial,18,5,1.0,25,9,1.0,0.0,0.0,1.0,1.0
traditional,2,2,0.4,5,3,0.3333333333333333,-0.06666666666666671,-0.26231503656389604,1.0,1.0
machine_learning,4,1,0.2,5,1,0.1111111111111111,-0.0888888888888889,-0.8422662335148839,1.0,1.0
reduce,3,1,0.2,1,1,0.1111111111111111,-0.0888888888888889,-0.8422662335148839,1.0,1.0
funded,4,1,0.2,1,1,0.1111111111111111,-0.0888888888888889,-0.8422662335148839,1.0,1.0
roche,5,1,0.2,1,1,0.1111111111111111,-0.0888888888888889,-0.8422662335148839,1.0,1.0
international,9,1,0.2,1,1,0.1111111111111111,-0.0888888888888889,-0.8422662335148839,1.0,1.0
response,3,1,0.2,1,1,0.1111111111111111,-0.0888888888888889,-0.8422662335148839,1.0,1.0
data_integrity,4,4,0.8,7,6,0.6666666666666666,-0.13333333333333341,-0.2626742273171588,1.0,1.0
development,3,2,0.4,2,2,0.2222222222222222,-0.1777777777777778,-0.8451215791639408,0.5804195804195804,0.8416083916083915
sponsors,3,2,0.4,2,2,0.2222222222222222,-0.1777777777777778,-0.8451215791639408,0.5804195804195804,0.8416083916083915
disease,3,2,0.4,2,2,0.2222222222222222,-0.1777777777777778,-0.8451215791639408,0.5804195804195804,0.8416083916083915
procedures,3,2,0.4,3,2,0.2222222222222222,-0.1777777777777778,-0.8451215791639408,0.5804195804195804,0.8416083916083915
large,8,2,0.4,6,2,0.2222222222222222,-0.1777777777777778,-0.8451215791639408,0.5804195804195804,0.8416083916083915
regulated,6,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
stroke,3,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
target,3,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
network,5,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
veterinary,7,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
non,4,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
community,5,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
preclinical,5,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
cost,7,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
phase,4,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
hiv,3,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
iii,4,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
infrastructure,5,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
publicly,5,1,0.2,0,0,0.0,-0.2,-7.651051691178929,0.35714285714285715,0.8416083916083915
management,6,3,0.6,13,3,0.3333333333333333,-0.26666666666666666,-0.8460777908201611,0.5804195804195803,0.8416083916083915
