node,earlier_block,later_block,earlier_n_docs,later_n_docs,earlier_total_docs,later_total_docs,earlier_share,later_share,share_delta,share_delta_abs,new_in_later_block,disappeared_in_later_block,p_value_fisher,q_value,exploratory_signal
machine_learning,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
outlier_detection,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
quality_by_design,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
quality_risk_assessment,2015-2019,2020-2023,0,2,4,6,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.4666666666666667,1.0,True
quality_risk_assessment,2020-2023,2024-current,2,0,6,3,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,False,True,0.5000000000000001,1.0,True
quality_tolerance_limit,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
source_data_verification,2020-2023,2024-current,0,1,6,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.33333333333333337,1.0,True
statistical_modeling,2015-2019,2020-2023,0,2,4,6,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,True,False,0.4666666666666667,1.0,True
statistical_modeling,2020-2023,2024-current,2,0,6,3,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,False,True,0.5000000000000001,1.0,True
accountability,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
accountability,2015-2019,2020-2023,1,0,4,6,0.25,0.0,-0.25,0.25,False,True,0.4,1.0,True
adverse_event_reporting,2015-2019,2020-2023,1,0,4,6,0.25,0.0,-0.25,0.25,False,True,0.4,1.0,True
adverse_event_underreporting,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
adverse_event_underreporting,2015-2019,2020-2023,1,0,4,6,0.25,0.0,-0.25,0.25,False,True,0.4,1.0,True
centralized_monitoring,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
centralized_monitoring,2015-2019,2020-2023,1,0,4,6,0.25,0.0,-0.25,0.25,False,True,0.4,1.0,True
clinical_quality_assurance,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
clinical_research,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
data_integrity,Before 2015,2015-2019,1,3,1,4,1.0,0.75,-0.25,0.25,False,False,1.0,1.0,True
data_integrity,2015-2019,2020-2023,3,3,4,6,0.75,0.5,-0.25,0.25,False,False,0.5714285714285715,1.0,True
governance,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
machine_learning,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
machine_learning,2015-2019,2020-2023,1,0,4,6,0.25,0.0,-0.25,0.25,False,True,0.4,1.0,True
predictive_modeling,Before 2015,2015-2019,0,1,1,4,0.0,0.25,0.25,0.25,True,False,1.0,1.0,True
predictive_modeling,2015-2019,2020-2023,1,0,4,6,0.25,0.0,-0.25,0.25,False,True,0.4,1.0,True
backup_recovery,2015-2019,2020-2023,0,1,4,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,True,False,1.0,1.0,True
backup_recovery,2020-2023,2024-current,1,0,6,3,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,False,True,1.0,1.0,True
clinical_quality_assurance,2020-2023,2024-current,1,0,6,3,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,False,True,1.0,1.0,True
clinical_research,2020-2023,2024-current,1,0,6,3,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,False,True,1.0,1.0,True
computerized_system,2015-2019,2020-2023,0,1,4,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,True,False,1.0,1.0,True
computerized_system,2020-2023,2024-current,1,0,6,3,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,False,True,1.0,1.0,True
computerized_systems_validation,2015-2019,2020-2023,0,1,4,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,True,False,1.0,1.0,True
computerized_systems_validation,2020-2023,2024-current,1,0,6,3,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,False,True,1.0,1.0,True
critical_to_quality,2015-2019,2020-2023,0,1,4,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,True,False,1.0,1.0,True
critical_to_quality,2020-2023,2024-current,1,0,6,3,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,False,True,1.0,1.0,True
data_quality,2015-2019,2020-2023,0,1,4,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,True,False,1.0,1.0,True
data_quality,2020-2023,2024-current,1,0,6,3,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,False,True,1.0,1.0,True
governance,2020-2023,2024-current,1,0,6,3,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,False,True,1.0,1.0,True
remote_auditing,2015-2019,2020-2023,0,1,4,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,True,False,1.0,1.0,True
remote_auditing,2020-2023,2024-current,1,0,6,3,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,False,True,1.0,1.0,True
risk_based_monitoring,2015-2019,2020-2023,0,1,4,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,True,False,1.0,1.0,True
site_monitoring,2015-2019,2020-2023,0,1,4,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,True,False,1.0,1.0,True
sponsor_oversight,2015-2019,2020-2023,0,1,4,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,True,False,1.0,1.0,True
sponsor_oversight,2020-2023,2024-current,1,0,6,3,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,False,True,1.0,1.0,True
technical_support,2015-2019,2020-2023,0,1,4,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,True,False,1.0,1.0,True
technical_support,2020-2023,2024-current,1,0,6,3,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,False,True,1.0,1.0,True
quality_assurance,2015-2019,2020-2023,2,2,4,6,0.5,0.3333333333333333,-0.16666666666666669,0.16666666666666669,False,False,1.0,1.0,False
site_monitoring,2020-2023,2024-current,1,1,6,3,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,False,False,1.0,1.0,False
clinical_quality_assurance,2015-2019,2020-2023,1,1,4,6,0.25,0.16666666666666666,-0.08333333333333334,0.08333333333333334,False,False,1.0,1.0,False
clinical_research,2015-2019,2020-2023,1,1,4,6,0.25,0.16666666666666666,-0.08333333333333334,0.08333333333333334,False,False,1.0,1.0,False
governance,2015-2019,2020-2023,1,1,4,6,0.25,0.16666666666666666,-0.08333333333333334,0.08333333333333334,False,False,1.0,1.0,False
accountability,2020-2023,2024-current,0,0,6,3,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
adverse_event_reporting,2020-2023,2024-current,0,0,6,3,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
adverse_event_underreporting,2020-2023,2024-current,0,0,6,3,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
backup_recovery,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
central_statistical_monitoring,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
central_statistical_monitoring,2015-2019,2020-2023,0,0,4,6,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
centralized_monitoring,2020-2023,2024-current,0,0,6,3,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
clinical_study,2020-2023,2024-current,0,0,6,3,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
clinical_trial,Before 2015,2015-2019,1,4,1,4,1.0,1.0,0.0,0.0,False,False,1.0,1.0,False
clinical_trial,2015-2019,2020-2023,4,6,4,6,1.0,1.0,0.0,0.0,False,False,1.0,1.0,False
clinical_trial,2020-2023,2024-current,6,3,6,3,1.0,1.0,0.0,0.0,False,False,1.0,1.0,False
computerized_system,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
computerized_systems_validation,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
corrective_preventive_action,2015-2019,2020-2023,0,0,4,6,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
corrective_preventive_action,2020-2023,2024-current,0,0,6,3,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
critical_to_quality,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
governance_traceability,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
governance_traceability,2015-2019,2020-2023,0,0,4,6,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
interpretability,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
outlier_detection,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
outlier_detection,2015-2019,2020-2023,0,0,4,6,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
oversight,2015-2019,2020-2023,2,3,4,6,0.5,0.5,0.0,0.0,False,False,1.0,1.0,False
predictive_modeling,2020-2023,2024-current,0,0,6,3,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
quality_assurance,2020-2023,2024-current,2,1,6,3,0.3333333333333333,0.3333333333333333,0.0,0.0,False,False,1.0,1.0,False
quality_by_design,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
quality_by_design,2015-2019,2020-2023,0,0,4,6,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
quality_risk_assessment,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
quality_tolerance_limit,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
quality_tolerance_limit,2015-2019,2020-2023,0,0,4,6,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
regulatory_guideline,2020-2023,2024-current,0,0,6,3,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
remote_auditing,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
risk_based_monitoring,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
roles_responsibilities,2015-2019,2020-2023,0,0,4,6,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
roles_responsibilities,2020-2023,2024-current,0,0,6,3,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
site_monitoring,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
source_data_verification,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
source_data_verification,2015-2019,2020-2023,0,0,4,6,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
sponsor_oversight,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
statistical_modeling,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
technical_support,Before 2015,2015-2019,0,0,1,4,0.0,0.0,0.0,0.0,False,False,1.0,1.0,False
