time_block,source,target,n_docs,block_docs,doc_share
2020-2023,quality_risk_assessment,remote_auditing,1,6,0.16666666666666666
2020-2023,quality_risk_assessment,sponsor_oversight,1,6,0.16666666666666666
2020-2023,quality_risk_assessment,statistical_modeling,2,6,0.3333333333333333
2020-2023,remote_auditing,statistical_modeling,1,6,0.16666666666666666
2020-2023,sponsor_oversight,statistical_modeling,1,6,0.16666666666666666
2024-current,central_statistical_monitoring,clinical_trial,1,3,0.3333333333333333
2024-current,central_statistical_monitoring,data_integrity,1,3,0.3333333333333333
2024-current,central_statistical_monitoring,outlier_detection,1,3,0.3333333333333333
2024-current,central_statistical_monitoring,risk_based_monitoring,1,3,0.3333333333333333
2024-current,clinical_trial,data_integrity,3,3,1.0
2024-current,clinical_trial,governance_traceability,1,3,0.3333333333333333
2024-current,clinical_trial,machine_learning,1,3,0.3333333333333333
2024-current,clinical_trial,outlier_detection,1,3,0.3333333333333333
2024-current,clinical_trial,quality_assurance,1,3,0.3333333333333333
2024-current,clinical_trial,quality_by_design,1,3,0.3333333333333333
2024-current,clinical_trial,quality_tolerance_limit,1,3,0.3333333333333333
2024-current,clinical_trial,risk_based_monitoring,2,3,0.6666666666666666
2024-current,clinical_trial,site_monitoring,1,3,0.3333333333333333
2024-current,clinical_trial,source_data_verification,1,3,0.3333333333333333
2024-current,data_integrity,governance_traceability,1,3,0.3333333333333333
2024-current,data_integrity,machine_learning,1,3,0.3333333333333333
2024-current,data_integrity,outlier_detection,1,3,0.3333333333333333
2024-current,data_integrity,quality_assurance,1,3,0.3333333333333333
2024-current,data_integrity,quality_by_design,1,3,0.3333333333333333
2024-current,data_integrity,quality_tolerance_limit,1,3,0.3333333333333333
2024-current,data_integrity,risk_based_monitoring,2,3,0.6666666666666666
2024-current,data_integrity,site_monitoring,1,3,0.3333333333333333
2024-current,data_integrity,source_data_verification,1,3,0.3333333333333333
2024-current,governance_traceability,quality_by_design,1,3,0.3333333333333333
2024-current,machine_learning,quality_assurance,1,3,0.3333333333333333
2024-current,machine_learning,quality_tolerance_limit,1,3,0.3333333333333333
2024-current,machine_learning,risk_based_monitoring,1,3,0.3333333333333333
2024-current,machine_learning,site_monitoring,1,3,0.3333333333333333
2024-current,machine_learning,source_data_verification,1,3,0.3333333333333333
2024-current,outlier_detection,risk_based_monitoring,1,3,0.3333333333333333
2024-current,quality_assurance,quality_tolerance_limit,1,3,0.3333333333333333
2024-current,quality_assurance,risk_based_monitoring,1,3,0.3333333333333333
2024-current,quality_assurance,site_monitoring,1,3,0.3333333333333333
2024-current,quality_assurance,source_data_verification,1,3,0.3333333333333333
2024-current,quality_tolerance_limit,risk_based_monitoring,1,3,0.3333333333333333
2024-current,quality_tolerance_limit,site_monitoring,1,3,0.3333333333333333
2024-current,quality_tolerance_limit,source_data_verification,1,3,0.3333333333333333
2024-current,risk_based_monitoring,site_monitoring,1,3,0.3333333333333333
2024-current,risk_based_monitoring,source_data_verification,1,3,0.3333333333333333
2024-current,site_monitoring,source_data_verification,1,3,0.3333333333333333
Before 2015,adverse_event_reporting,clinical_trial,1,1,1.0
Before 2015,adverse_event_reporting,corrective_preventive_action,1,1,1.0
Before 2015,adverse_event_reporting,data_integrity,1,1,1.0
Before 2015,adverse_event_reporting,data_quality,1,1,1.0
Before 2015,adverse_event_reporting,oversight,1,1,1.0
Before 2015,adverse_event_reporting,quality_assurance,1,1,1.0
Before 2015,adverse_event_reporting,roles_responsibilities,1,1,1.0
Before 2015,clinical_trial,corrective_preventive_action,1,1,1.0
Before 2015,clinical_trial,data_integrity,1,1,1.0
Before 2015,clinical_trial,data_quality,1,1,1.0
Before 2015,clinical_trial,oversight,1,1,1.0
Before 2015,clinical_trial,quality_assurance,1,1,1.0
Before 2015,clinical_trial,roles_responsibilities,1,1,1.0
Before 2015,corrective_preventive_action,data_integrity,1,1,1.0
Before 2015,corrective_preventive_action,data_quality,1,1,1.0
Before 2015,corrective_preventive_action,oversight,1,1,1.0
Before 2015,corrective_preventive_action,quality_assurance,1,1,1.0
Before 2015,corrective_preventive_action,roles_responsibilities,1,1,1.0
Before 2015,data_integrity,data_quality,1,1,1.0
Before 2015,data_integrity,oversight,1,1,1.0
Before 2015,data_integrity,quality_assurance,1,1,1.0
Before 2015,data_integrity,roles_responsibilities,1,1,1.0
Before 2015,data_quality,oversight,1,1,1.0
Before 2015,data_quality,quality_assurance,1,1,1.0
Before 2015,data_quality,roles_responsibilities,1,1,1.0
Before 2015,oversight,quality_assurance,1,1,1.0
Before 2015,oversight,roles_responsibilities,1,1,1.0
Before 2015,quality_assurance,roles_responsibilities,1,1,1.0
